event,datetime,lon,lat,depth,intensity,station_id,station_name,station_lon,station_lat,distance,az,pga_v,pga_ns,pga_ew,d,pga_max,pga
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,TWD,Xiulin,311007.9127645317,2664013.279816505,8.22,255.19,8.24,5.79,8.24,7455.01806087884,8.24,13.012274974038936
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,ETM,Tongmen,299865.3439983832,2651787.3438262157,11.26,17.81,27.06,53.78,53.78,10766.25971802775,53.78,80.7268257768135
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,HWA,HualienCity,312072.7542644263,2652942.4806326255,13.09,317.56,15.05,14.58,15.05,12030.63407019815,15.05,25.798864316089574
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,ETL,Taroko,313002.3806301754,2672882.3723930633,14.44,222.69,5.94,19.33,19.33,14365.702484628504,19.33,27.97465638752333
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,ETLH,Xibao,298756.7747790603,2678364.0973408236,16.64,164.09,6.89,8.04,8.04,17372.811018993503,8.04,13.294935125828932
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,EYL,Yanliao,311092.7932948438,2644078.08310115,19.17,336.43,1.52,1.75,1.75,19098.367293396976,1.75,2.904376008715125
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,WHF,Hehuanshan,277440.5005203154,2670554.3087334028,27.36,109.16,1.14,2.69,2.69,27878.27864868175,2.69,3.971372558700581
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,ESL,Xilin,294832.08213291,2634050.9237001794,29.04,17.37,8.17,16.13,16.13,29163.785143778034,16.13,24.230202227798262
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,SHUL,Shuilian,307067.98607105465,2631879.043906284,30.66,353.13,1.38,1.19,1.38,30058.137298088215,1.38,2.285804016095868
0,2018-12-14 04:56:39,303898.5345178488,2661769.6142367846,17.7,3.5,FUSS,Lishan,274370.6287985171,2682731.3270915076,35.32,125.52,0.91,5.19,5.19,36211.74701631503,5.19,7.3959651161968045
