序號,資料集名稱,分類,資料提供單位,資料集描述,欄位名稱,Url
1,「宜蘭垃圾車APP」各鄉鎮市清運點資料,生活環境與其他,宜蘭縣政府環保局,宜蘭垃圾車APP程式所建立的宜蘭縣各鄉鎮市垃圾清運點資料,星期(星期),https://opendata.epa.gov.tw/Data/Contents/OTH01577/
2,0800資源回收免費服務專線-民眾通報路邊廢車統計表,生活環境與其他,資源回收管理基金管理會,0800資源回收免費服務專線-民眾通報路邊廢車統計表,Year(年度)、NumberOfVehicles(通報車輛種類)、Total(電話通數)。,https://opendata.epa.gov.tw/Data/Contents/OTH01879/
3,0800資源回收免費服務專線-專人處理一般件問題查詢事業廢棄物統計,生活環境與其他,資源回收管理基金管理會,0800資源回收免費服務專線-專人處理一般件問題查詢事業廢棄物統計,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數)。,https://opendata.epa.gov.tw/Data/Contents/OTH01877/
4,0800資源回收免費服務專線-專人處理一般件問題查詢非公告應回收廢棄物類統計,生活環境與其他,資源回收管理基金管理會,0800資源回收免費服務專線-專人處理一般件問題查詢非公告應回收廢棄物類統計,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數)。,https://opendata.epa.gov.tw/Data/Contents/OTH01874/
5,0800資源回收免費服務專線-專人處理一般件問題查詢非業務範圍統計,生活環境與其他,資源回收管理基金管理會,0800資源回收免費服務專線-專人處理一般件問題查詢非業務範圍統計,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數)。,https://opendata.epa.gov.tw/Data/Contents/OTH01876/
6,0800資源回收免費服務專線-專人處理一般件問題查詢活動統計,生活環境與其他,資源回收管理基金管理會,0800資源回收免費服務專線-專人處理一般件問題查詢活動統計,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數)。,https://opendata.epa.gov.tw/Data/Contents/OTH01875/
7,0800資源回收免費服務專線-專人處理一般件問題查詢廢容器統計,生活環境與其他,資源回收管理基金管理會,0800資源回收免費服務專線-專人處理一般件問題查詢廢容器統計,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數)。,https://opendata.epa.gov.tw/Data/Contents/OTH01870/
8,0800資源回收免費服務專線-專人處理一般件問題查詢廢乾電池、照明光源統計,生活環境與其他,資源回收管理基金管理會,0800資源回收免費服務專線-專人處理一般件問題查詢廢乾電池、照明光源統計,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數)。,https://opendata.epa.gov.tw/Data/Contents/OTH01873/
9,0800資源回收免費服務專線-專人處理一般件問題查詢廢資訊物品統計,生活環境與其他,資源回收管理基金管理會,0800資源回收免費服務專線-專人處理一般件問題查詢廢資訊物品統計,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數)。,https://opendata.epa.gov.tw/Data/Contents/OTH01871/
10,0800資源回收免費服務專線-專人處理一般件問題查詢廢電子電器統計,生活環境與其他,資源回收管理基金管理會,0800資源回收免費服務專線-專人處理一般件問題查詢廢電子電器統計,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數)。,https://opendata.epa.gov.tw/Data/Contents/OTH01868/
11,0800資源回收免費服務專線-專人處理一般件問題查詢廢輪胎、鉛蓄電池統計,生活環境與其他,資源回收管理基金管理會,0800資源回收免費服務專線-專人處理一般件問題查詢廢輪胎、鉛蓄電池統計,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數)。,https://opendata.epa.gov.tw/Data/Contents/OTH01880/
12,0800資源回收免費服務專線-專人處理一般件問題查詢廢機動車輛統計,生活環境與其他,資源回收管理基金管理會,0800資源回收免費服務專線-專人處理一般件問題查詢廢機動車輛統計,Year(年度)、TheNameOfTheProblem(問題類型)、Total(電話通數)。,https://opendata.epa.gov.tw/Data/Contents/OTH01869/
13,0800資源回收免費服務專線-整體話務達成狀況統計,生活環境與其他,資源回收管理基金管理會,0800資源回收免費服務專線-整體話務達成狀況統計,Year(年度)、ItemName(項目名稱)、Total(電話通數)。,https://opendata.epa.gov.tw/Data/Contents/OTH01878/
14,30天觀測資料,大氣,交通部中央氣象局,由氣象測站收集日照時數每日資料," SiteId(測站代碼)、SiteEngName(測站英文名稱)、SiteName(測站中文名稱)、MonitorDateTime(監測日期與時間)、barometric_pressure(測站氣壓hpa)、temperature(溫度)、Relative_humidity(相對溼度)、Wind_speed(風速)、WinDirection(風向)、WinDirection_code(風向英文代碼)、Precipitation(降水量)、Sunshine_hour(日照時數)、Day_Maxi_Temperature(當日最高溫度°C)、Day_lowest_Temperature(當日最低溫度°C)、Ave_Temperature(當日平均溫度°C)",https://opendata.epa.gov.tw/Data/Contents/ATM00240/
15,APEC Ocean and Fisheries Working Group (OFWG),"水,生態",永續發展室,提供APEC海洋及漁業工作小組相關資訊,Year(發行年)、Volume(卷數)、FileNmae(檔名)、Link(檔案位置)。,https://opendata.epa.gov.tw/Data/Contents/WAT00520/
